Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,A1,A2,F7,F8,T3,T4,T5,T6,Fz,Cz,Pz
-9.45,-17.3,-2.21,-8.38,3.25,-2.17,4.0,3.11,5.27,4.81,0.99,2.35,-2.45,-5.43,6.48,1.05,7.64,6.79,-8.73,0.71,4.26
-6.84,-15.18,-1.28,-6.1,1.7,-0.86,2.76,2.02,5.11,5.13,4.19,1.94,0.25,-4.42,4.84,0.53,7.76,6.13,-5.85,2.02,3.89
-9.58,-17.12,-3.72,-5.45,1.15,-1.19,2.02,-0.16,3.21,2.82,2.85,-2.3,-4.27,-5.16,-1.65,0.59,6.24,4.01,-9.03,1.65,2.39
-8.34,-18.59,-2.13,-4.79,3.27,-1.79,3.64,-0.62,1.62,0.85,2.05,-0.92,-2.42,-7.13,4.8,1.67,4.86,4.33,-7.18,2.32,2.68
-7.85,-17.99,-0.77,-8.25,3.26,-3.06,3.19,-0.37,1.24,-0.31,0.45,-1.47,-0.34,-12.46,2.43,0.36,6.02,3.41,-6.69,1.62,2.08
-7.14,-19.16,-1.29,-7.27,3.64,-3.14,4.02,-0.56,2.76,-0.18,-0.08,-0.42,-4.31,-11.39,-2.3,-4.41,6.67,3.75,-6.11,2.39,2.56
-7.87,-18.17,-0.85,-9.12,5.21,-5.36,4.93,-0.46,4.18,1.98,2.63,3.32,1.01,-9.8,6.56,0.78,9.27,3.1,-7.12,1.51,2.86
-8.97,-16.98,-3.49,-9.4,2.69,-2.43,1.63,-0.54,0.21,-0.51,0.41,-2.38,-4.16,-11.35,1.59,0.94,4.53,3.84,-7.23,0.42,0.82
-9.46,-17.91,-2.69,-8.29,3.65,-2.72,1.28,-2.42,-2.14,-3.48,-0.02,0.89,-2.53,-6.87,-2.19,3.69,3.45,2.45,-7.75,1.57,0.66
-6.73,-16.54,-2.87,-7.31,1.62,-1.3,-1.15,-4.64,-2.87,-6.08,-0.32,0.26,-2.52,-9.39,-1.76,1.27,1.41,0.33,-5.55,1.35,-0.4
-7.26,-18.42,-1.0,-7.65,2.97,-1.19,0.21,-4.64,-2.93,-7.03,-3.1,-2.37,-1.17,-10.85,-2.55,-2.49,1.63,-0.35,-6.16,3.45,-0.29
-4.61,-14.78,0.5,-6.06,4.72,-3.07,0.43,-6.95,-4.85,-7.5,1.56,0.0,-0.63,-6.29,-1.38,0.32,1.07,-2.72,-3.61,5.21,-0.37
-8.17,-18.52,-0.55,-8.02,4.25,-3.24,-0.11,-6.55,-3.71,-6.84,-2.76,-1.96,-1.09,-9.96,-2.12,-2.19,0.02,-2.89,-6.57,3.85,0.87
-7.91,-15.94,-0.98,-7.48,3.82,-3.62,-0.48,-5.32,-3.98,-5.9,-1.02,-1.95,-3.04,-6.75,-0.52,1.99,1.02,-2.53,-6.04,2.94,0.46
-8.97,-16.48,-2.66,-7.0,1.96,-1.19,-2.1,-5.64,-4.96,-6.41,-3.35,-5.82,-4.53,-6.47,-1.65,-0.14,-0.52,-3.07,-8.18,1.82,-1.29
-4.11,-11.35,0.68,-6.66,2.61,-2.11,-2.6,-4.97,-4.28,-5.81,-1.13,2.3,1.24,-3.31,8.25,-2.58,1.3,-1.92,-3.78,2.16,-0.62
-5.86,-13.94,0.89,-7.27,1.66,-1.95,-3.29,-5.34,-6.14,-6.36,-2.87,-1.66,0.24,-6.63,3.48,-1.86,-1.53,-2.92,-5.41,3.89,-1.19
-3.44,-12.18,0.54,-6.08,1.39,-0.38,-2.47,-3.29,-5.68,-4.59,0.23,-2.8,0.85,-3.31,-1.78,-2.17,-3.21,-1.38,-3.12,4.66,-0.4
-7.04,-14.83,-1.27,-7.03,1.03,-1.23,-3.2,-2.48,-6.07,-5.71,-4.19,-3.12,-2.63,-8.37,-6.64,-4.66,-4.88,-3.36,-5.48,5.78,-0.44
-6.09,-14.88,-3.53,-4.55,0.78,-1.12,-2.69,-3.79,-5.9,-6.51,-2.65,-6.26,-4.93,-6.34,-9.06,-2.47,-4.06,-3.49,-4.82,5.71,-0.55
-6.92,-13.28,-3.08,-4.07,1.28,-2.23,-1.66,-5.0,-3.21,-5.75,-2.12,-5.29,-3.23,-8.46,-6.48,-4.2,-1.83,-4.75,-5.86,4.77,-0.01
-4.0,-13.58,-1.46,-2.83,1.82,-1.25,-2.42,-4.75,-5.86,-7.03,-3.61,-4.87,-1.12,-7.15,-1.01,-4.05,-3.32,-4.84,-3.36,5.36,-0.47
-6.57,-15.29,-1.96,-3.76,0.59,-0.14,-3.79,-3.72,-6.76,-7.09,-1.01,-2.99,-3.38,-7.09,-3.71,-0.72,-4.14,-2.21,-6.1,5.49,0.08
-5.66,-14.24,-2.14,-3.77,-0.03,0.03,-4.77,-4.27,-6.24,-6.85,-0.64,-3.47,-2.29,-6.86,-1.83,-1.86,-4.88,-4.09,-4.45,5.71,-1.07
-7.5,-14.69,-3.07,-5.09,0.69,-0.55,-3.45,-5.69,-6.63,-7.89,-2.99,-3.02,-4.85,-6.55,-3.22,-3.88,-3.51,-5.72,-6.82,5.39,-0.78
-5.24,-11.94,-1.33,-2.07,1.1,0.15,-2.52,-5.41,-6.61,-7.96,-3.93,0.73,-2.15,-4.17,-4.44,-1.67,-3.33,-4.54,-3.48,6.88,-0.21
-7.83,-15.98,-3.33,-3.63,-0.98,0.28,-3.72,-5.57,-7.31,-10.25,-5.85,-7.69,-4.45,-6.17,-6.43,-2.1,-4.98,-6.15,-6.52,5.79,0.15
-5.2,-13.33,-2.93,-2.71,-1.12,1.76,-1.91,-2.72,-6.64,-8.11,-7.53,-6.86,-4.01,-3.5,-7.32,-2.9,-3.91,-3.97,-4.4,4.91,1.6
-7.54,-18.48,-3.6,-6.46,-1.73,2.35,-3.45,0.41,-5.96,-5.88,-5.34,-6.59,-2.6,-9.76,-5.24,-1.72,-2.74,-0.35,-7.38,4.06,1.06
-4.44,-11.82,-2.03,-6.96,-0.19,0.14,-1.95,1.67,-4.94,-5.45,-3.89,-6.44,-2.26,-8.31,3.45,-2.93,-1.45,0.27,-4.07,5.24,1.74
-4.55,-11.75,0.43,-4.18,1.86,-1.21,0.4,1.15,-0.37,-3.78,-2.84,-4.95,-1.49,-7.4,-1.78,-2.52,1.93,0.07,-4.56,5.73,3.3
-3.22,-10.03,1.5,-5.13,3.94,-2.97,2.03,2.99,0.53,0.3,0.93,0.21,-1.39,-6.27,-0.32,-1.77,3.71,3.48,-3.17,6.33,4.96
-4.48,-9.51,1.28,-4.37,3.27,-3.19,2.32,1.38,0.9,0.68,0.01,-3.26,1.14,-3.01,0.27,-2.16,3.21,2.5,-4.86,4.74,3.32
-4.62,-10.73,-0.11,-3.9,3.24,-1.82,2.78,1.8,2.44,3.64,1.1,-2.89,-1.39,-5.24,2.11,-2.87,2.53,3.37,-4.75,4.01,4.25
-4.22,-8.42,-0.11,-5.29,2.72,-1.75,2.35,1.41,2.31,3.51,0.67,1.89,2.7,-5.47,6.5,-2.72,3.97,4.87,-5.03,2.18,3.11
-5.38,-10.67,-1.59,-5.16,0.68,-1.24,0.41,1.02,0.6,1.79,-1.16,-4.0,-0.95,-9.34,-4.75,-2.2,0.58,4.55,-5.74,1.22,1.6
-2.38,-7.55,1.03,-3.4,2.26,-0.91,1.95,3.13,0.49,2.56,1.01,0.0,1.16,-4.25,-6.45,0.79,1.52,5.02,-2.99,3.24,3.64
-5.18,-11.03,-0.73,-4.72,1.55,-1.5,2.25,1.59,-0.08,-0.1,-1.95,-2.34,-3.54,-5.54,-4.96,-1.73,0.98,2.96,-4.63,2.8,2.83
-5.94,-12.52,-0.13,-4.22,-0.1,0.34,-0.89,-1.73,-4.11,-2.88,-3.63,-5.72,-4.04,-8.17,-7.54,-3.68,-1.8,1.64,-5.6,0.73,-1.1
-3.24,-7.92,0.79,-3.23,0.71,0.13,0.45,-1.51,-1.76,-1.7,2.86,4.52,-2.03,-0.63,-2.11,2.02,-0.38,2.25,-2.83,1.02,0.8
-1.29,-1.95,0.73,-0.45,-0.92,1.3,-2.41,-3.92,-3.32,-5.65,1.62,3.31,-0.49,0.83,-1.45,1.91,-2.5,0.14,-1.87,0.7,-1.41
0.41,-2.49,1.04,-0.38,-1.5,1.94,-1.36,-3.22,-2.46,-4.14,3.66,4.8,2.9,1.53,-1.58,3.46,-0.37,0.97,0.13,2.02,-0.97
-3.51,-3.16,-3.18,-0.9,-2.92,3.72,-0.77,0.48,-1.05,-1.35,-0.83,8.05,-4.21,5.55,-4.35,8.44,0.01,5.07,-4.27,1.35,0.5
-2.83,-0.82,-3.44,-1.51,-3.04,4.37,-0.56,2.46,-1.34,-0.6,-0.68,7.52,-4.35,6.81,-0.9,6.16,0.7,5.31,-2.55,0.26,1.73
-1.81,0.28,-4.05,1.21,-4.56,4.46,-2.5,2.96,-2.62,-1.27,-0.73,6.09,-4.75,8.32,-3.5,5.33,-1.99,6.41,-2.01,-0.65,1.39
-0.83,2.69,-3.47,2.85,-4.8,6.28,-2.74,6.28,-1.2,3.59,-1.24,9.52,-3.03,10.34,-9.33,10.86,-2.0,11.6,-0.91,-1.98,2.64
-0.11,3.01,-0.93,2.22,-2.94,2.76,-1.05,5.54,0.33,3.07,4.43,9.35,-0.4,8.6,-3.16,8.54,-0.64,10.59,-0.94,-1.56,2.64
-2.4,-2.72,-1.06,0.99,-2.43,3.79,-0.7,4.34,0.92,4.71,-1.11,4.66,-1.82,4.39,-4.71,5.01,0.25,10.39,-2.87,-0.77,2.86
-6.45,-6.54,-2.49,-3.51,-2.41,1.87,-0.97,1.4,-1.85,1.38,-0.49,4.1,-5.92,1.61,-3.2,4.68,0.3,6.77,-6.21,-1.48,0.96
-6.38,-7.32,-2.48,-3.78,-0.34,0.16,-0.71,-0.54,-3.58,-1.77,-3.2,1.32,-4.21,-1.31,-0.77,2.83,-1.7,2.62,-5.33,-0.64,2.26
-5.79,-5.87,-1.94,-5.25,1.02,-0.8,1.0,-0.13,-1.52,-2.13,-3.28,1.24,-1.78,-0.91,-1.47,-0.63,-0.32,1.05,-6.5,-0.88,3.24
-3.52,-7.49,1.73,-4.8,2.13,-1.51,4.72,-0.52,4.68,-0.47,-1.26,3.83,1.13,-3.89,-1.0,0.11,6.67,1.31,-4.12,-0.88,3.41
-4.63,-9.19,0.77,-6.25,1.48,-0.57,1.82,-1.7,0.42,-0.87,0.1,0.73,1.1,-7.11,-0.62,2.42,2.7,2.73,-5.2,-1.47,1.25
-2.45,-6.11,2.18,-4.34,2.97,-2.36,3.44,-2.85,1.12,-1.6,0.51,3.75,3.12,-2.28,-0.32,0.62,3.8,0.95,-2.19,-0.46,0.15
-5.71,-8.47,0.08,-5.98,0.64,-0.27,-1.19,-3.97,-4.3,-4.51,-1.39,1.58,0.43,-8.61,-1.76,-0.9,-2.14,-1.02,-5.58,-1.59,-2.64
-3.86,-5.89,0.07,-3.96,0.74,-0.37,-3.33,-3.34,-7.39,-4.27,-6.3,0.14,-0.86,-1.9,0.03,2.1,-7.3,0.37,-3.27,-0.15,-2.74
-5.45,-4.97,-2.54,-2.15,-1.06,2.23,-2.13,-0.8,-2.45,-0.49,-2.88,0.07,-4.81,-1.94,-8.32,1.3,-2.77,2.66,-4.82,0.5,-0.95
-5.72,-9.61,-1.44,-4.67,0.64,0.72,0.14,0.84,1.94,3.08,-2.84,-3.08,-4.62,-5.39,1.13,0.7,1.23,3.7,-5.54,0.46,1.43
-5.88,-7.32,-0.47,-3.72,1.56,-0.54,1.3,1.8,2.72,4.56,0.85,-3.3,-1.65,-3.63,4.04,0.48,3.2,4.75,-5.74,-0.1,3.23
-5.14,-7.42,0.98,-4.64,2.04,-1.54,3.12,4.12,5.33,6.93,2.79,-1.54,-1.02,-7.53,7.31,0.65,4.65,4.84,-4.28,0.2,5.65
-4.27,-7.28,2.77,-4.43,1.64,-0.95,3.26,4.8,6.82,7.21,2.8,-4.37,0.52,-7.79,4.04,-1.39,5.45,5.86,-4.31,0.1,5.96
-3.34,-5.59,3.16,-3.7,1.57,0.29,2.07,3.95,6.52,8.39,-2.48,-1.52,-1.77,-5.9,-1.77,2.58,5.97,8.25,-2.82,0.25,4.36
-2.64,-2.33,2.13,-1.4,0.32,0.22,0.46,2.58,5.76,8.35,-5.67,1.63,-3.86,-0.81,-3.25,4.34,4.52,9.46,-2.21,0.16,3.24
-0.14,-0.11,1.88,2.39,0.26,1.67,-0.74,3.22,4.0,9.79,-8.3,9.13,-2.13,3.5,-5.23,7.31,0.78,11.12,0.97,0.27,2.87
-2.23,-2.4,1.61,1.09,0.41,0.19,-1.59,2.63,2.47,8.51,-11.82,8.51,-1.62,0.01,-0.93,5.59,-1.02,10.56,-2.1,-1.56,2.32
-2.22,-3.06,1.91,2.22,-0.39,0.17,-2.03,1.17,1.35,6.72,-9.89,13.18,-1.79,3.12,-2.87,6.95,-2.92,9.69,-1.6,-1.77,1.47
-1.42,0.55,3.43,2.93,-0.69,1.37,-1.15,0.98,0.45,5.39,-6.66,9.25,-2.42,2.6,-4.16,5.4,-2.89,8.02,-0.62,1.19,2.28
0.62,0.12,3.38,2.3,-0.26,0.43,-2.56,-0.98,-1.17,1.54,-8.85,7.18,-2.33,1.8,-6.91,3.68,-3.74,6.3,1.05,3.36,0.98
0.76,3.33,3.42,3.12,-1.15,0.91,-4.01,-2.47,-3.18,-1.24,-6.74,8.51,-4.04,3.31,-5.05,4.97,-6.46,3.7,1.12,3.7,-0.17
4.74,9.5,-0.73,2.73,-1.18,1.39,-0.48,-0.62,-1.72,0.8,5.77,9.87,2.03,11.44,-3.33,5.82,-0.82,4.51,4.56,-0.01,-1.62
1.12,7.26,0.1,0.0,0.0,0.45,1.83,0.99,1.85,1.88,5.53,7.44,4.03,10.07,3.05,9.54,5.41,6.67,-0.01,-1.32,0.06
3.32,8.83,1.03,0.63,-1.93,1.78,0.27,0.39,1.2,1.85,9.44,16.44,7.58,10.73,3.5,10.73,4.21,6.76,1.91,-4.09,-2.01
0.87,7.17,-0.41,0.26,-0.71,1.57,-0.2,-0.63,1.05,0.74,8.46,9.59,7.38,7.98,4.03,9.75,4.79,4.9,-0.39,-3.28,-2.41
1.6,5.05,1.02,-1.78,0.84,-0.18,0.64,-1.33,1.77,0.25,6.89,10.03,7.0,5.74,7.14,3.42,4.74,3.99,0.29,-1.38,-1.28
-2.53,3.47,-2.21,-2.39,0.08,0.59,-0.1,0.39,-0.6,-1.61,4.61,8.83,3.08,4.99,5.7,3.96,2.79,3.7,-3.11,-1.04,-1.31
-2.05,0.18,-1.99,-3.93,0.91,0.36,-0.09,-1.31,-0.05,-2.12,1.96,2.17,1.23,-0.84,2.97,1.49,1.94,2.41,-2.29,0.56,-1.0
-2.21,2.08,-1.51,-1.99,0.1,0.21,0.75,-1.59,0.29,-0.59,-2.44,6.05,-0.52,2.13,0.19,3.39,0.81,3.61,-2.43,0.95,0.05
-2.57,-2.58,-0.42,-3.29,-0.14,0.01,-0.65,-2.52,-0.75,-3.06,1.34,2.56,0.38,-3.4,0.46,0.28,-0.26,2.33,-3.13,0.44,-0.21
0.12,-0.06,1.62,-2.36,1.27,-0.71,-0.22,-4.09,-1.52,-5.74,-7.83,0.65,2.28,2.36,4.08,-0.58,0.03,-0.93,-0.63,1.85,-1.96
1.85,4.33,2.72,0.55,1.26,-0.64,-1.38,-5.34,-3.21,-6.49,-1.16,2.86,2.05,4.89,0.5,3.07,-2.19,0.26,1.88,0.91,-3.41
-0.43,3.42,2.45,0.37,0.31,0.7,-0.19,-3.71,-1.66,-5.73,1.3,5.17,1.58,3.94,-1.42,3.99,-0.31,1.03,-0.9,1.37,-2.72
1.15,4.76,1.26,1.71,-0.83,1.45,-3.42,-5.62,-4.94,-7.82,-3.2,1.24,-0.03,5.57,-0.73,4.42,-4.67,-0.82,0.39,0.84,-4.66
-2.07,0.83,-1.49,1.4,-3.2,2.38,-3.61,-3.79,-4.12,-7.29,2.05,-1.0,-2.49,2.43,1.08,2.85,-2.55,0.83,-1.53,1.04,-3.99
-0.79,0.77,-2.08,-0.55,-2.38,0.33,-2.44,-5.63,-2.96,-7.1,-3.07,1.02,-2.76,2.13,1.25,1.16,0.45,0.73,-0.04,-1.69,-5.65
-0.09,3.01,-0.08,-0.15,-0.33,0.95,-1.78,-5.04,-0.59,-5.73,0.69,-0.21,-0.35,2.87,-1.0,2.15,1.51,0.71,-0.31,0.23,-4.42
3.96,7.52,2.82,1.78,1.28,-0.38,0.07,-4.15,1.51,-2.06,4.56,1.84,1.54,5.48,0.2,2.06,4.04,1.34,4.03,1.81,-2.83
1.86,4.11,2.96,2.63,1.79,-0.13,-1.46,-4.07,0.02,-0.25,4.01,0.27,1.4,4.54,-0.74,0.82,0.95,0.98,1.32,2.16,-2.09
0.24,-0.57,1.95,1.68,-0.05,0.94,-2.6,-1.11,0.98,1.06,2.31,-6.58,0.46,-0.69,4.92,3.42,2.1,3.94,0.17,1.55,-1.7
1.18,2.23,3.02,2.74,-1.29,1.07,-2.39,-0.81,1.3,0.46,4.04,-4.06,4.53,4.38,7.44,3.49,3.22,4.59,0.8,-0.24,-2.94
4.36,8.77,3.56,3.74,-1.48,2.94,-2.01,-0.1,3.05,2.45,4.69,2.37,5.16,7.5,4.67,8.17,4.01,6.16,3.74,-0.4,-1.74
-1.08,3.5,0.7,0.83,-2.13,2.24,-1.92,0.79,3.69,3.32,-3.49,5.64,-1.43,7.48,-1.2,8.45,1.79,7.44,-0.51,-1.61,-0.48
1.97,5.08,2.92,0.86,-0.64,2.04,-1.03,0.4,1.91,0.87,-7.85,6.51,0.82,5.35,-1.2,2.61,0.98,3.83,1.63,0.47,0.8
3.16,7.58,3.87,1.3,0.1,1.04,-0.73,-0.31,-0.87,-1.91,-7.55,8.7,1.15,8.13,-0.49,3.7,0.75,3.01,2.57,1.52,1.12
3.32,8.66,2.87,2.83,-1.6,2.24,-2.69,-2.29,-2.41,-4.33,-6.29,10.92,2.09,8.72,-0.22,6.22,-1.49,3.5,2.91,0.47,-0.73
1.09,7.17,2.04,0.11,-1.51,1.65,-2.64,-1.44,-2.25,-4.72,-7.25,10.25,0.63,6.17,0.2,4.24,-1.32,3.93,0.87,2.08,-0.22
2.71,7.05,2.52,-0.28,0.26,-0.06,-2.34,-3.07,-2.68,-5.65,-6.28,8.48,1.22,7.59,0.45,3.15,-1.38,3.53,2.28,3.18,-0.4
-3.41,0.16,-0.56,-3.09,0.69,-2.11,-1.43,-2.81,-1.23,-5.22,-7.26,2.08,-3.18,0.98,3.19,-0.43,1.34,2.63,-3.59,2.41,-0.14
-5.52,-6.58,-1.52,-7.83,4.28,-3.32,3.15,-1.97,2.24,-4.22,-11.58,-4.92,-3.93,-5.86,8.03,-5.88,5.12,1.85,-4.51,3.19,2.45
-4.82,-5.05,-0.91,-6.35,3.43,-3.04,3.89,0.92,3.22,0.93,-6.03,-2.37,-2.92,-3.93,5.24,-3.52,3.15,3.0,-5.01,4.63,4.95
-1.31,-0.92,-0.95,-3.01,2.01,-0.78,4.12,5.86,7.89,8.01,0.21,1.51,-0.79,-0.43,-5.41,0.68,3.49,9.25,-1.29,6.12,6.7
-3.88,-0.6,-1.93,-2.76,1.53,0.48,4.34,6.63,10.42,10.99,3.53,4.5,-2.55,0.06,-1.73,3.5,6.61,11.38,-3.44,4.94,7.11
-2.58,0.62,-2.12,-2.06,1.05,-0.11,3.18,5.99,7.39,10.87,4.2,5.75,-2.34,0.49,-0.91,3.21,4.05,12.06,-2.69,4.27,5.29
-2.07,0.4,-2.0,-1.72,1.51,0.4,2.85,4.26,7.85,9.5,3.15,6.49,-0.29,0.71,4.93,1.83,4.92,10.73,-3.73,4.25,4.18
-4.29,0.16,-4.54,-2.95,-0.99,1.01,-0.24,2.79,3.6,5.56,-5.81,0.67,-3.88,0.39,3.19,3.86,0.47,6.75,-3.62,1.29,1.7
-7.79,-6.05,-6.46,-3.18,-1.65,1.88,-0.38,3.28,2.96,5.05,-9.03,-6.02,-8.24,-2.92,-1.79,-1.35,-1.52,4.92,-7.85,2.77,3.38
-7.88,-5.1,-10.08,-2.21,-3.84,3.76,0.52,7.47,5.47,8.28,-9.51,-6.17,-12.47,0.37,-9.49,4.48,-2.55,7.94,-7.43,3.95,5.97
-11.36,-7.0,-10.54,-1.56,-3.78,4.79,3.03,10.26,8.79,10.44,-10.33,-6.3,-12.52,-0.16,-6.16,3.13,-0.65,9.16,-10.15,3.88,8.4
-11.19,-8.12,-11.91,-1.99,-3.85,4.43,2.52,8.69,7.22,7.73,-7.5,-4.71,-13.54,-0.37,-2.62,3.05,-1.79,7.69,-10.66,4.3,8.06
-13.93,-11.11,-10.7,-2.6,-2.85,4.25,-0.33,7.17,3.69,4.7,-11.18,-7.89,-13.43,0.43,-6.33,0.93,-6.31,5.14,-12.79,4.26,6.18
-7.15,-6.03,-6.99,-1.26,-2.17,3.15,-2.08,4.19,2.22,1.11,-10.74,-4.61,-10.92,-0.43,-5.77,-2.82,-4.07,2.35,-6.08,4.35,4.36
-7.9,-6.08,-5.83,-0.29,-2.54,3.38,-4.05,0.1,-0.71,-3.73,-10.71,-5.94,-10.91,-3.42,-5.64,1.0,-6.7,0.49,-6.92,3.93,2.19
-1.78,-1.03,-2.0,2.39,-0.73,1.97,-3.45,-1.05,-0.5,-4.06,-4.59,-4.67,-6.1,-0.32,-5.58,-2.66,-3.93,0.14,-1.23,4.31,1.05
-1.94,1.14,-1.95,3.59,-2.09,3.03,-3.42,-1.59,0.18,-3.81,-3.99,-3.74,-4.0,3.9,-6.41,4.13,-3.08,2.09,-1.57,2.23,-0.73
-2.61,0.75,-2.74,1.95,-2.5,0.83,-2.86,-2.58,1.58,-2.71,0.86,1.61,-5.66,2.77,-4.77,2.09,-1.22,2.89,-1.61,1.99,-1.25
-0.57,5.96,0.51,4.19,0.43,-0.13,-3.06,-5.38,-1.39,-6.72,1.62,0.61,-2.13,9.18,2.39,0.53,-0.33,0.55,0.03,1.61,-3.02
0.8,4.18,1.29,4.13,0.47,-0.38,-1.63,-4.53,1.57,-4.91,-0.6,1.22,-1.9,6.61,-0.47,-0.19,1.9,0.46,1.38,1.08,-1.66
-0.9,2.53,0.53,2.29,-0.6,0.54,0.95,-2.43,5.37,-1.78,1.33,5.69,-3.51,4.58,5.29,1.98,4.71,3.56,-0.99,0.45,-0.69
-1.66,-1.74,0.3,0.95,-0.75,1.21,0.58,-0.65,3.77,-0.11,-0.78,4.63,-2.78,-2.56,0.77,-1.29,3.7,2.61,-1.6,0.85,0.08
-4.35,-0.56,-3.11,1.28,-2.28,2.21,1.45,1.31,4.59,-0.6,-1.97,-7.71,-5.34,2.46,-4.3,1.4,5.76,3.59,-4.5,-1.8,-0.79
-4.05,0.35,-1.9,-0.2,0.24,0.66,2.45,2.31,7.55,4.29,-1.15,-3.46,-7.32,-0.13,-4.4,-1.76,7.46,4.01,-4.0,-0.7,0.48
-4.64,-0.7,-0.71,-0.59,0.22,0.29,-0.27,1.06,3.99,2.03,-3.78,-4.26,-5.22,0.25,-3.69,-1.78,4.62,2.87,-4.48,0.32,-0.78
-3.48,-4.31,2.3,-0.65,0.49,-0.01,-0.8,0.39,4.85,1.9,-4.54,-6.86,-5.51,-2.69,-5.52,0.08,4.4,2.7,-2.58,1.76,-0.58
-2.06,-3.62,2.24,1.31,0.35,-0.39,0.09,3.5,6.81,5.48,-4.16,-2.74,-6.86,-1.97,-6.09,-3.25,3.39,5.3,-1.86,3.59,0.87
-1.4,-4.43,2.45,-0.12,0.06,-0.46,0.91,4.3,6.92,5.03,-5.18,-1.71,-7.18,-3.29,-4.33,-1.82,3.16,6.04,-0.32,4.45,1.96
-8.49,-9.47,-0.2,-1.89,1.43,-0.42,4.3,5.5,12.12,7.6,-6.98,-1.69,-11.02,-5.28,0.12,-4.01,7.89,6.93,-6.82,4.87,4.6
-7.67,-11.78,-0.62,-2.68,1.18,-1.09,4.76,6.9,13.08,8.88,-3.67,-2.05,-7.49,-5.32,3.65,-2.75,10.49,7.76,-6.57,2.97,5.55
2.75,3.31,4.89,0.41,1.38,-0.53,3.65,4.42,10.27,6.49,5.01,-1.03,6.86,-0.24,11.36,4.27,11.95,8.4,1.2,0.07,2.94
3.23,5.61,3.72,3.1,-0.22,1.28,3.52,3.23,11.54,5.94,3.83,1.0,3.72,3.07,3.36,3.98,13.49,7.8,2.66,0.29,2.43
11.49,21.45,6.47,8.34,-1.9,1.98,0.51,2.41,8.41,4.45,5.62,1.79,8.83,14.18,2.05,8.23,8.1,7.51,8.75,-0.78,0.64
10.79,22.14,5.42,9.86,-2.17,2.1,-0.1,2.67,5.45,4.06,4.8,0.62,5.09,17.72,-0.2,7.39,4.77,8.52,9.33,-1.32,-0.33
6.8,19.4,3.32,7.5,-2.79,2.57,-0.22,3.43,7.24,6.35,6.23,5.85,3.86,15.11,3.0,7.62,7.18,10.25,5.83,-1.73,0.11
4.45,12.81,2.47,5.92,-2.06,3.26,0.03,4.35,5.55,3.88,1.15,1.6,-0.1,10.49,6.63,5.18,5.97,10.28,3.84,-0.43,0.8
2.97,10.04,1.46,4.8,-2.19,2.45,0.95,2.38,4.46,3.11,0.25,-0.9,0.17,8.57,10.22,5.08,7.33,8.93,2.01,-1.46,-0.77
2.28,7.93,2.14,4.52,-1.42,2.7,1.82,2.56,7.08,5.84,2.77,-1.9,-1.37,5.5,1.23,4.9,8.98,9.82,1.54,-0.18,-0.36
3.4,7.64,2.38,4.8,-2.25,2.64,1.75,1.58,6.66,5.01,1.37,2.68,-1.65,3.82,-1.66,5.68,9.09,9.52,2.09,0.57,-0.01
3.69,7.06,2.7,2.66,-0.8,0.55,1.25,2.35,5.05,5.01,-0.06,-1.34,-3.11,2.14,-1.91,4.63,6.42,9.04,3.33,1.8,1.6
1.66,6.37,1.27,0.53,0.25,-0.28,3.47,3.69,4.71,4.6,-1.9,-7.53,-3.06,-2.82,0.34,-0.4,7.75,7.15,0.62,1.58,3.51
2.09,5.4,-0.72,-0.62,1.99,-1.55,4.79,3.2,4.52,1.71,-1.4,-5.22,-4.61,-2.01,2.86,-3.13,9.49,7.01,1.39,2.43,3.54
-2.49,0.61,-2.19,-4.19,2.54,-3.82,5.58,2.87,5.47,2.21,-0.56,-6.92,-5.36,-3.44,0.78,-5.54,9.59,5.88,-3.31,0.33,3.6
-2.08,-1.18,-2.08,-4.53,3.44,-3.89,6.17,2.46,5.13,2.24,-0.6,-5.17,-3.82,-4.17,4.02,-5.71,10.84,5.54,-2.65,-0.33,4.23
-1.57,1.16,-1.3,-4.33,3.23,-3.33,6.09,1.1,5.94,3.35,-0.48,-3.5,-1.7,-6.84,3.72,-4.42,11.43,3.86,-2.88,-1.04,3.72
-1.72,-0.05,-1.26,-5.23,2.73,-3.27,7.67,2.84,8.97,4.81,0.42,-5.87,-4.12,-10.25,5.04,-4.14,11.92,4.17,-2.51,-0.77,6.15
-4.24,-2.39,-0.95,-5.3,2.78,-3.23,8.67,2.86,10.5,6.06,-4.46,-7.02,-5.02,-10.78,2.55,-5.99,14.52,2.59,-4.35,-0.96,7.2
-2.93,-2.35,-0.89,-5.03,2.91,-3.56,8.86,3.52,10.28,7.78,-1.26,-5.77,-5.13,-8.79,1.84,-3.37,13.07,3.18,-3.22,-1.02,7.43
-4.54,-3.73,-2.28,-2.92,1.39,-2.8,8.48,7.53,12.56,11.57,-1.51,-4.25,-5.4,-6.74,-0.64,0.37,10.76,8.36,-4.69,-2.74,8.5
-1.6,-2.35,0.77,-2.12,4.26,-2.97,9.92,6.02,15.11,13.55,-3.02,-5.4,-3.01,-8.42,2.35,-2.16,12.41,7.64,-1.42,-2.12,9.15
-3.5,-4.17,0.75,-4.34,4.36,-3.6,8.42,4.67,11.94,11.46,-5.43,-10.03,-4.07,-10.0,7.58,-3.94,11.0,6.56,-3.64,-2.72,7.37
